pair,ligand_gene,receptor_gene,sender_cluster,receiver_cluster,n_sender,n_receiver,mean_score_recv
CADM3__Lhx6-iNeuron|SV2A__L2-L3-eNeuron,CADM3,SV2A,Lhx6-iNeuron,L2-L3-eNeuron,29,74,0.0012109438
GLG1__L6-eNeuron|NOTCH3__mural,GLG1,NOTCH3,L6-eNeuron,mural,124,10,0.0012105594
SEMA5A__OPC|CNTNAP1__L6-eNeuron,SEMA5A,CNTNAP1,OPC,L6-eNeuron,18,124,0.0012103923
SEMA7A__endothelial|FGFR3__astrocytes,SEMA7A,FGFR3,endothelial,astrocytes,33,31,0.0012102843
GRN__Lhx6-iNeuron|LRP1__L4-eNeuron,GRN,LRP1,Lhx6-iNeuron,L4-eNeuron,29,96,0.0012100454
NFASC__Olig|FLOT1__L6-eNeuron,NFASC,FLOT1,Olig,L6-eNeuron,15,124,0.0012066971
SEMA5A__L6-eNeuron|LINGO1__astrocytes,SEMA5A,LINGO1,L6-eNeuron,astrocytes,124,31,0.0012064825
SEMA7A__Olig|CNTNAP1__L6-eNeuron,SEMA7A,CNTNAP1,Olig,L6-eNeuron,15,124,0.0012056873
GDF10__astrocytes|STX1A__L2-L3-eNeuron,GDF10,STX1A,astrocytes,L2-L3-eNeuron,31,74,0.0012054829
ADAM15__L2-L3-eNeuron|SV2A__Lhx6-iNeuron,ADAM15,SV2A,L2-L3-eNeuron,Lhx6-iNeuron,74,29,0.0012053631
TNXB__mural|ADCY1__L6-eNeuron,TNXB,ADCY1,mural,L6-eNeuron,10,124,0.0012053053
NTRK3__L6-eNeuron|EPHB4__endothelial,NTRK3,EPHB4,L6-eNeuron,endothelial,124,33,0.0012052555
GRN__Adarb2-iNeuron|RTN4R__L2-L3-eNeuron,GRN,RTN4R,Adarb2-iNeuron,L2-L3-eNeuron,18,74,0.0012050905
SHANK1__L6-eNeuron|TNFRSF1B__microglia,SHANK1,TNFRSF1B,L6-eNeuron,microglia,124,11,0.001204893
PDGFB__endothelial|CNTNAP1__L5-eNeuron,PDGFB,CNTNAP1,endothelial,L5-eNeuron,33,64,0.0012047819
SEMA5A__L6-eNeuron|SV2A__Olig,SEMA5A,SV2A,L6-eNeuron,Olig,124,15,0.0012042314
CADM3__L5-eNeuron|EPHB4__endothelial,CADM3,EPHB4,L5-eNeuron,endothelial,64,33,0.0012041468
CADM3__L5-eNeuron|DAG1__endothelial,CADM3,DAG1,L5-eNeuron,endothelial,64,33,0.0012033219
HSPG2__endothelial|CNTNAP1__L5-eNeuron,HSPG2,CNTNAP1,endothelial,L5-eNeuron,33,64,0.0012032817
NFASC__OPC|ADAM11__L6-eNeuron,NFASC,ADAM11,OPC,L6-eNeuron,18,124,0.001203183
