Sender,Receiver,score,Ligand,Receptor
Olig,astrocytes,0.00011267518272212228,Adam15,Itgb1
Oligodendrocyte,astrocytes,0.0,Adam15,Itgb1
astrocytes,astrocytes,0.0005230178611295283,Adam15,Itgb1
endothelial,astrocytes,0.0004014827098745867,Adam15,Itgb1
microglia,astrocytes,0.0,Adam15,Itgb1
mural,astrocytes,0.0,Adam15,Itgb1
Adarb2-iNeuron,endothelial,0.0005274824793308101,Adam15,Itgb1
Astrocyte,endothelial,0.0,Adam15,Itgb1
Choroid Plexus,endothelial,0.0,Adam15,Itgb1
Endothelial,endothelial,0.0,Adam15,Itgb1
