Sender,Receiver,Ligand,Receptor,LRscore,all
Malignant,Stroma,ADAM9,ITGB5,5.111296356173157,Malignant_ADAM9_Stroma_ITGB5
Stroma,Macrophage,FN1,ITGB2,16.62244226501591,Stroma_FN1_Macrophage_ITGB2
Macrophage,Malignant,LYZ,ADORA2A,14.25887881774124,Macrophage_LYZ_Malignant_ADORA2A
Macrophage,Malignant,C1QA,FPR3,5.738336849476507,Macrophage_C1QA_Malignant_FPR3
Stroma,Malignant,TIMP3,IFITM1,12.120721401317269,Stroma_TIMP3_Malignant_IFITM1
Malignant,Macrophage,JAM3,CD9,4.631310749626443,Malignant_JAM3_Macrophage_CD9
Macrophage,Malignant,C1QA,FLOT1,15.829101294245415,Macrophage_C1QA_Malignant_FLOT1
Macrophage,Stroma,C1QA,FLOT1,16.079324645740666,Macrophage_C1QA_Stroma_FLOT1
Macrophage,Malignant,LYZ,CD44,14.133321602927321,Macrophage_LYZ_Malignant_CD44
Macrophage,Malignant,GRN,IFITM1,16.603896599233916,Macrophage_GRN_Malignant_IFITM1
Stroma,Malignant,LTBP1,PLXNB2,4.079570675482549,Stroma_LTBP1_Malignant_PLXNB2
Stroma,Malignant,TIMP3,FPR3,4.099308175808052,Stroma_TIMP3_Malignant_FPR3
Malignant,Macrophage,TFF3,TYROBP,19.03610716776075,Malignant_TFF3_Macrophage_TYROBP
Stroma,Malignant,LTBP1,IL6ST,4.5930177090380315,Stroma_LTBP1_Malignant_IL6ST
Stroma,Macrophage,LTBP1,FLOT1,3.637690176629419,Stroma_LTBP1_Macrophage_FLOT1
Stroma,Malignant,LTBP1,FLOT1,4.026424350675845,Stroma_LTBP1_Malignant_FLOT1
Malignant,Stroma,THBS3,ITGB1,8.195887618682383,Malignant_THBS3_Stroma_ITGB1
Macrophage,Malignant,LYZ,PRLR,14.599588821245367,Macrophage_LYZ_Malignant_PRLR
Malignant,Macrophage,JAM3,ENO1,4.182092614040233,Malignant_JAM3_Macrophage_ENO1
Stroma,Macrophage,LTBP1,CD81,4.856308978404267,Stroma_LTBP1_Macrophage_CD81
Macrophage,Malignant,ANXA2,ADORA2A,11.791316593654908,Macrophage_ANXA2_Malignant_ADORA2A
Malignant,Stroma,AZGP1,ITGAV,9.154459524602204,Malignant_AZGP1_Stroma_ITGAV
Macrophage,Malignant,VIM,IFITM1,15.2762853279632,Macrophage_VIM_Malignant_IFITM1
Malignant,Stroma,SEMA4A,PLXNA1,1.6645923293239608,Malignant_SEMA4A_Stroma_PLXNA1
Malignant,Macrophage,CD9,CD9,21.896876366917063,Malignant_CD9_Macrophage_CD9
Malignant,Bcell,JAM3,CD74,5.131872024918219,Malignant_JAM3_Bcell_CD74
Malignant,Macrophage,JAM3,CD74,6.543299335638999,Malignant_JAM3_Macrophage_CD74
Malignant,Stroma,JAM3,CD74,6.707239817299282,Malignant_JAM3_Stroma_CD74
Stroma,Malignant,THBS1,FPR3,4.066887766458908,Stroma_THBS1_Malignant_FPR3
Macrophage,Malignant,PSAP,CD9,26.843790318421128,Macrophage_PSAP_Malignant_CD9
Malignant,Stroma,TNFSF10,CAP1,13.279998390002042,Malignant_TNFSF10_Stroma_CAP1
Malignant,Stroma,ADAM9,ITGAV,3.172002966388046,Malignant_ADAM9_Stroma_ITGAV
